,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
10,11,[stella_en_1.5B_v5](https://huggingface.co/dunzhang/stella_en_1.5B_v5),92,1B,8960,131072,56.54,50.01,58.56,56.69,50.21,0.21,21.84,78.47,61.37,52.84,69.91
11,12,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1/tree/main),92,1B,8960,131072,,,60.63,,,0.26,22.66,,,55.12,71.5
12,13,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),92,7B,4096,32768,56.25,49.64,57.84,57.29,41.38,1.04,18.63,78.94,63.82,56.72,71.1
13,14,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),-1,559M,1024,514,59.63,52.11,76.1,60.84,44.74,-3.48,21.4,78.72,62.02,55.69,72.98
14,15,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),93,494M,896,512,57.05,50.13,64.77,57.57,46.35,-1.5,20.67,77.7,60.59,54.17,70.84
15,16,[bge-m3](https://huggingface.co/BAAI/bge-m3),98,568M,4096,8194,59.54,52.28,79.11,60.35,41.79,-3.11,20.1,80.76,62.79,54.59,74.12
16,17,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),99,572M,1024,8194,58.37,50.75,65.25,58.77,46.4,-1.34,18.38,79.27,57.09,55.76,77.13
17,18,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),99,305M,1024,8192,58.03,51.35,71.79,57.17,44.96,-0.74,19.82,80.49,60.72,55.11,72.85
18,19,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),98,278M,768,514,58.22,50.69,69.98,59.36,45.42,-3.84,20.68,77.44,59.41,52.96,74.84
19,20,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),99,560M,1024,514,58.55,51.33,71.67,59.92,42.87,-3.05,21.3,78.99,62.78,54.08,73.41
20,21,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),93,494M,896,512,56.36,49.36,64.22,57.38,46.62,-2.6,21.62,77.47,58.17,50.84,70.54
21,22,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),92,7B,4096,32768,54.86,48.39,48.9,57.04,43.36,3.02,18.95,76.19,64.29,53.98,69.77
22,23,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),98,567M,1024,8194,57.83,50.67,72.16,58.73,41.19,-2.5,19.56,78.51,60.37,53.26,74.69
23,24,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),98,117M,384,512,57.01,49.78,69.48,58.06,44.58,-3.36,19.17,77.07,59.31,49.55,74.14
24,25,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),99,568M,1024,8192,57.02,50.04,64.08,57.39,43.58,-2.47,18.94,76.71,63.67,58.36,70.11
25,26,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),99,278M,768,514,57.01,49.92,69.44,58.21,42.67,-2.65,20.16,77.15,60.18,52.72,71.44
26,27,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),-1,7B,4096,32768,,,60.8,,52.98,5.36,23.45,,,,
27,28,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),99,118M,384,512,55.5,48.81,67.47,56.52,41.77,-2.45,19.16,76.72,60.39,49.33,70.4
28,29,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),99,305M,768,8192,53.71,46.98,53.73,54.38,43.02,-3.34,17.04,74.86,61.67,54.83,66.6
29,30,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),97,359M,1024,8194,51.68,45.39,63.38,53.19,41.02,-2.65,18.6,80.62,51.53,43.3,59.53
30,31,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),96,278M,768,512,53.76,47.31,58.48,54.09,42.3,-1.77,17.67,75.71,59.89,52.2,67.27
31,32,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),-1,470M,768,512,53.68,47.3,70.33,55.08,40.67,-1.77,19.95,80.8,51.59,36.98,72.09
